Coords,White_x,White_y,Velocity_White,Brown_x,Brown_y,Velocity_Brown,Orange_x,Orange_y,Velocity_Orange,Green_x,Green_y,Velocity_Green,Red_x,Red_y,Velocity_Red
74,440.5787354,998.6401978,5.795993186,508.2828979,1046.933228,7.400680533,584.2168579,995.8615112,3.988924775,587.9033813,1010.673645,3.913399384,455.9462585,1028.221313,4.53040457
75,441.5752258,1003.180054,4.647933453,515.0092163,1047.296387,6.736114849,586.7125244,993.5944214,3.37165355,590.8257446,1007.524048,4.296529933,460.7481689,1031.735352,5.950361935
76,444.2983093,1008.815369,6.258750531,522.5430298,1048.473022,7.625143747,587.0550537,991.6964111,1.92867033,591.7841187,1004.729248,2.954553556,463.533844,1035.886719,4.999383462
77,445.8082886,1012.857056,4.314541833,529.3242798,1048.626709,6.78299131,588.0621338,989.5395508,2.380390065,592.1392212,1004.174438,0.6587195705,464.8036499,1040.090088,4.390981573
78,447.4478455,1016.94281,4.402446564,534.3522949,1048.843018,5.032665856,588.6998291,987.3632813,2.267775206,594.9904785,1000.555115,4.607512626,468.7729797,1043.128174,4.99855434
79,450.0029602,1023.560181,7.093532625,540.3261719,1048.155762,6.013279178,590.2104492,984.4378052,3.292473751,598.1084595,996.8474731,4.844420656,473.9457092,1047.11438,6.530464693
80,452.8486938,1027.624634,4.961650851,546.5498657,1047.390137,6.270609759,589.9915771,981.7009277,2.745615252,600.4763184,994.0256348,3.683683964,478.666626,1048.995483,5.081889942
81,456.7923279,1030.949219,5.158014594,551.9855347,1045.759521,5.674980434,590.418335,979.060791,2.674405378,601.2768555,989.9988403,4.105597773,481.3837585,1054.185059,5.857857979
82,460.4376221,1035.02002,5.464392805,558.9846802,1045.084351,7.0316352,591.3624878,976.8644409,2.390685743,600.7625732,989.2318115,0.9234822152,487.9448547,1056.212402,6.867175978
83,465.6781616,1041.248657,8.139974344,565.8145752,1041.869141,7.548843691,591.8034668,972.5404053,4.346463705,602.3212891,985.6571655,3.899703707,493.9742126,1058.503296,6.449910859
84,470.0628052,1044.805786,5.646084055,570.7337646,1039.120117,5.635206716,592.7354736,969.7775269,2.915841884,603.0490112,979.8145142,5.887797088,496.7073975,1061.836548,4.310553075
85,476.3731384,1049.608032,7.929809159,574.520874,1034.798828,5.745932177,593.7252197,967.0110474,2.938197766,604.2398071,976.0827026,3.917194419,503.3908997,1064.290283,7.119692325
86,480.3777771,1056.178589,7.69476091,583.4571533,1031.009277,9.706584507,593.9899292,965.2509766,1.779865256,604.8427124,973.7827759,2.377637033,510.30896,1064.286255,6.918061476
87,484.508667,1059.702148,5.429523308,587.4954224,1026.484863,6.064481798,594.5915527,962.1417847,3.166863609,605.3582764,973.3934326,0.6460606607,516.2747192,1065.421753,6.072860905
88,489.1139832,1061.923706,5.113145333,591.685791,1021.429077,6.566594465,594.3339233,959.6403809,2.514635942,605.097229,971.2476807,2.161572846,523.2948608,1068.682495,7.740466893
89,495.5960693,1064.595947,7.011299049,599.6300659,1014.478577,10.55561276,593.1731567,958.5059204,1.623077205,604.8244019,964.6010742,6.652203537,527.3929443,1071.811157,5.155852494
90,499.8953247,1066.54126,4.718880955,603.7380981,1008.98584,6.859014981,592.3789673,955.5048218,3.104404917,604.1776733,961.8039551,2.870911573,535.8501587,1071.983032,8.458960673
91,506.4701843,1068.739014,6.932452758,605.098938,1003.116089,6.025434558,592.6702881,951.9642944,3.55249232,604.7492676,960.0487671,1.845915721,542.6873169,1069.99939,7.119098972
92,512.5180054,1071.576538,6.680395512,607.0146484,1000.256104,3.442304858,592.0879517,949.2390137,2.786802997,603.779541,957.6033325,2.630688093,546.513855,1072.135498,4.382391221
93,518.8981934,1072.481079,6.443988921,613.0007324,993.0499268,9.368147359,591.0665283,949.3999023,1.03401683,603.5749512,954.4439697,3.165980142,554.2231445,1071.745483,7.71914871
94,523.1569824,1072.54834,4.259320167,615.5247192,987.9821777,5.66150065,589.6101074,945.9557495,3.73943185,602.9328003,951.5439453,2.970269239,558.1160889,1068.352417,5.164098686
95,528.5557251,1073.453491,5.474095494,616.1485596,985.3039551,2.749918791,589.2183228,941.6188965,4.354513682,602.1176758,948.480835,3.169711816,564.6824951,1068.584229,6.570496756
96,536.8650513,1074.22522,8.345086359,617.4891968,978.2179565,7.211704609,588.1843872,937.1958008,4.542334016,601.5856323,945.7455444,2.786554236,571.2542725,1066.84375,6.798347073
97,541.3568115,1075.110352,4.578140293,619.1084595,971.6918945,6.723949513,587.0065918,935.5136108,2.053525025,602.2280884,944.3666992,1.521171887,573.9404297,1067.325562,2.729026015
